galaxy,stationary_role,source,source_pdf,source_panel_index,vector_vertex_index,radius_source_kpc,radius_source_arcsec_derived,sigma_hi_msun_pc2,source_distance_mpc,source_rhi_kpc_anchor,source_mean_sigma_hi_3p2h_anchor,axis_kpc_per_pdf_x,axis_sigma_per_pdf_y,axis_tick_nice_score,helium_applied,frozen_distance_applied,profile_status
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,28,6.264472147,99.39548827,3.600491063,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,29,6.487087668,102.927626,3.298863456,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,30,6.711096162,106.4818654,2.995949797,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,31,6.935617651,110.0442442,2.697304866,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,32,7.158233731,113.5763908,2.476043463,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,33,7.38275522,117.1387696,2.273870581,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,34,7.607350552,120.7023201,2.072041853,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,35,7.829378116,124.225129,1.870216145,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,36,8.053973449,127.7886795,1.668369304,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,37,8.278494937,131.3510583,1.467856818,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
