galaxy,stationary_role,sample_index,source_artifact,source_radius_value,source_radius_unit,radius_kpc_frozen,sigma_source_msun_pc2,sigma_source_err_minus_msun_pc2,sigma_source_err_plus_msun_pc2,surface_density_multiplier_to_common_1p33,sigma_neutral_1p33_msun_pc2,sigma_neutral_1p33_err_minus_msun_pc2,sigma_neutral_1p33_err_plus_msun_pc2,radius_mapping_method,helium_mapping_method,inclination_amplitude_rescale,source_note
IC2574,calibration,5,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,1.1,kpc_source,1.07525,7.7,1.6,1.6,0.977941176471,7.53014705883,1.56470588235,1.56470588235,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,6,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,1.3,kpc_source,1.27075,8,1.7,1.7,0.977941176471,7.82352941177,1.6625,1.6625,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,7,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,1.5,kpc_source,1.46625,8.5,1.7,1.7,0.977941176471,8.3125,1.6625,1.6625,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,8,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,1.6,kpc_source,1.564,9,1.4,1.4,0.977941176471,8.80147058824,1.36911764706,1.36911764706,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,9,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,1.8,kpc_source,1.7595,9.3,1.1,1.1,0.977941176471,9.09485294118,1.07573529412,1.07573529412,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,10,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,2,kpc_source,1.955,9.2,1.2,1.2,0.977941176471,8.99705882353,1.17352941177,1.17352941177,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,11,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,2.2,kpc_source,2.1505,8.8,1.2,1.2,0.977941176471,8.60588235294,1.17352941177,1.17352941177,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,12,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,2.4,kpc_source,2.346,7.9,1.1,1.1,0.977941176471,7.72573529412,1.07573529412,1.07573529412,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,13,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,2.6,kpc_source,2.5415,7.2,1.1,1.1,0.977941176471,7.04117647059,1.07573529412,1.07573529412,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,14,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,2.8,kpc_source,2.737,7.2,1.2,1.2,0.977941176471,7.04117647059,1.17352941177,1.17352941177,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,15,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,3,kpc_source,2.9325,7.5,1.3,1.3,0.977941176471,7.33455882353,1.27132352941,1.27132352941,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,16,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,3.2,kpc_source,3.128,7.9,1.3,1.3,0.977941176471,7.72573529412,1.27132352941,1.27132352941,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,17,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,3.4,kpc_source,3.3235,8.3,1.3,1.3,0.977941176471,8.11691176471,1.27132352941,1.27132352941,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,18,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,3.6,kpc_source,3.519,8.5,1.1,1.1,0.977941176471,8.3125,1.07573529412,1.07573529412,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,19,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,3.8,kpc_source,3.7145,8.7,1.1,1.1,0.977941176471,8.5080882353,1.07573529412,1.07573529412,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,20,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,4,kpc_source,3.91,9,1,1,0.977941176471,8.80147058824,0.977941176471,0.977941176471,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,21,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,4.2,kpc_source,4.1055,9.2,0.9,0.9,0.977941176471,8.99705882353,0.880147058824,0.880147058824,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,22,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,4.4,kpc_source,4.301,9.3,0.9,0.9,0.977941176471,9.09485294118,0.880147058824,0.880147058824,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,23,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,4.6,kpc_source,4.4965,9.4,0.9,0.9,0.977941176471,9.19264705883,0.880147058824,0.880147058824,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,24,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,4.8,kpc_source,4.692,9.5,0.9,0.9,0.977941176471,9.29044117647,0.880147058824,0.880147058824,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,25,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,4.9,kpc_source,4.78975,9.7,0.9,0.9,0.977941176471,9.48602941177,0.880147058824,0.880147058824,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,26,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,5.1,kpc_source,4.98525,10.1,1,1,0.977941176471,9.87720588236,0.977941176471,0.977941176471,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,27,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,5.3,kpc_source,5.18075,10.4,1,1,0.977941176471,10.1705882353,0.977941176471,0.977941176471,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,28,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,5.5,kpc_source,5.37625,10.4,1,1,0.977941176471,10.1705882353,0.977941176471,0.977941176471,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,29,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,5.7,kpc_source,5.57175,10.2,1,1,0.977941176471,9.975,0.977941176471,0.977941176471,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,30,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,5.9,kpc_source,5.76725,9.6,0.9,0.9,0.977941176471,9.38823529412,0.880147058824,0.880147058824,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,31,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,6.1,kpc_source,5.96275,8.6,0.7,0.7,0.977941176471,8.41029411765,0.68455882353,0.68455882353,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,32,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,6.3,kpc_source,6.15825,8,0.7,0.7,0.977941176471,7.82352941177,0.68455882353,0.68455882353,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,33,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,6.5,kpc_source,6.35375,7.7,0.8,0.8,0.977941176471,7.53014705883,0.782352941177,0.782352941177,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,34,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,6.7,kpc_source,6.54925,7.5,0.8,0.8,0.977941176471,7.33455882353,0.782352941177,0.782352941177,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,35,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,6.9,kpc_source,6.74475,7.3,0.8,0.8,0.977941176471,7.13897058824,0.782352941177,0.782352941177,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,36,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,7.1,kpc_source,6.94025,6.9,0.7,0.7,0.977941176471,6.74779411765,0.68455882353,0.68455882353,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,37,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,7.3,kpc_source,7.13575,6.5,0.6,0.6,0.977941176471,6.35661764706,0.586764705883,0.586764705883,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
IC2574,calibration,38,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,7.5,kpc_source,7.33125,6,0.5,0.5,0.977941176471,5.86764705883,0.488970588235,0.488970588235,source_kpc_times_frozen_over_source_distance,source_includes_1p36_to_common_1p33,0,finite Leroy table7 measured row; source blank edge rows excluded under frozen missing-value policy
