name,arm,ra_deg,dec_deg,plx_mas,e_plx_mas,x_kpc,y_kpc,z_kpc,R_kpc,U_kms,V_kms,W_kms,e_U_kms,e_V_kms,e_W_kms
G048.60+00.02,Per,290.12989999999996,13.923669444444444,0.093,0.005,-1.0399754347672685,8.066466375810023,0.005047368747830234,8.133229905578292,-5.340376165426877,14.965235848804923,5.813811366027656,5.550799854076174,13.415422883642414,6.584096612129064
G048.99-00.29,SgF,290.608895,14.110870277777778,0.178,0.017,-4.463601910590989,4.239238602635318,-0.02628655521505591,6.155882223232099,0.25889672841803235,5.705587224895055,-14.42338415133252,17.354817844211215,9.8852750011686,14.681944113116634
G049.04-01.07,SgN,291.34271,13.788756944444444,0.164,0.022,-4.15387207125587,4.60406605174574,-0.11198213398105522,6.200973906830857,27.592577884623857,-18.382599124265028,1.3016683959257158,12.026235151649152,10.657917420687875,8.150301272876732
G049.19-00.33,SgF,290.7407104166667,14.269439722222224,0.197,0.008,-4.832554948789607,3.8419736172114254,-0.02656733734886269,6.1736819328841,8.303311780155706,5.970662530720517,10.082759765974457,10.145215039468885,5.594747857301605,9.389623596571154
G049.34+00.41,SgF,290.1351966666667,14.762608333333333,0.241,0.031,-5.446946213692348,3.148024345305081,0.03356055568519933,6.29120658804739,11.807573333741967,9.37800434589687,-2.781487747003459,8.423767903731346,5.304687993891316,5.591072923896065
G049.48-00.38,SgN,290.9327916666666,14.508194444444445,0.185,0.01,-4.638742643537544,4.109498052445407,-0.033463611237625264,6.197249999477694,-9.036495105251092,-2.295404917008341,4.941689221347208,6.1394907985373575,4.2960963984007,5.439807045344769
G049.59-00.24,SgF,290.86086166666666,14.671376388888888,0.218,0.009,-5.176971688347646,3.4932263914373842,-0.016475049497118036,6.245291545139245,15.33424960722626,2.74092686026799,-12.447718525413073,5.928729360045659,4.940830827292965,5.515008718378292
G054.10-00.08,LoS,292.9533241666666,18.71586,0.231,0.031,-5.612198187696787,3.5071054073379706,-0.002343677427360584,6.617896707879803,10.553397198109254,-9.237467340594435,8.683662971370474,14.126362962135271,5.483133557509768,12.589409025716982
G058.77+00.64,LoS,294.70469541666665,23.144501388888887,0.299,0.04,-6.4162898068911005,2.8598050840156652,0.04193475284245123,7.0247604944636,15.564662587641084,-5.774563552696151,-2.5061549654434305,6.172379433062832,3.048204746409345,6.089915729096558
G059.47-00.18,LoS,295.8681266666666,23.345145,0.535,0.024,-7.2007142957919665,1.6101460323860568,-0.00119646846460975,7.37854027672353,14.888948484831543,-4.3552356506406795,-7.527726907313445,10.919775119040398,4.377642494912941,10.715003395057527
G059.78+00.06,LoS,295.79686,23.73424166666667,0.463,0.02,-7.06299932732126,1.8663558751222575,0.007206790153064242,7.305425637862858,-0.2517169389987998,-5.045056714601856,-5.191520161775333,5.607199882219248,5.343541140153171,5.487322701653916
G059.83+00.67,LoS,295.24705750000004,24.078938055555554,0.242,0.014,-6.073558862934975,3.5723270227346777,0.05257375175210615,7.0462498975622765,16.36458647346702,-2.383044810779694,-1.991131722164372,5.370961202806316,3.0880507462552047,4.703476086250805
G069.54-00.97,Loc,302.5377916666667,31.526652777777777,0.406,0.013,-7.2891868936453434,2.307343187289176,-0.03701277551898458,7.645657470382833,6.687274621647771,-7.330989569902897,5.620851353250468,4.857915746868138,4.9270294010822795,4.492092072073081
G070.18+01.74,Per,300.22703083333334,33.52450666666667,0.156,0.016,-5.977482001953404,6.027788108489177,0.19871329196354676,8.489082433603787,10.997998497447151,-14.03694873701815,-3.7223461170171577,5.4066365299564225,12.295874917076643,5.774061740641507
G071.31+00.82,Loc,301.8802470833333,33.99485861111111,0.213,0.028,-6.6458652699212175,4.446862854338226,0.07241128873813601,7.996381333530695,6.328204112300729,2.5045740500902127,-11.47801602948085,15.255725632311838,9.35945702930407,16.082554372321145
G071.52-00.38,Loc,303.24122625,33.50752305555555,0.277,0.026,-7.005848377148217,3.4239124259166083,-0.019539398202294504,7.797761716283492,-4.422936922077174,-4.137053538853252,-3.900533436256475,5.102543210586066,3.356555954133046,5.568333663552889
