NAME,GL,GB,DIST,DIST_ERR,PX,PX_ERR,accel_source,has_binary_orbital_accel,has_spin_inferred_accel,ALOS_PB,ALOS_PB_ERR,ALOS_PS,ALOS_PS_ERR,ALOS_USE_mm_s_yr,ALOS_USE_ERR_mm_s_yr,aGal_1e10_m_s2,aGal_err_1e10_m_s2,x_moranlike_kpc,y_moranlike_kpc,z_moranlike_kpc,X_mwm_kpc,Y_mwm_kpc,Z_mwm_kpc,R_gal_kpc,phi_mwm_deg,duplicate_sky_location,sky_key,BSURF,CHAR_AGE
J0751+1807,202.73,21.086,1.17,0.05,0.85,0.04,binary_orbital,1,1,-1.188269743,1.690308847,0.667764432,0.6360110447,-1.188269743,1.690308847,-0.3765399596293761,0.5356265517656602,9.2168758476515,-0.42180487609703715,0.420929535571975,-9.2168758476515,-0.42180487609703715,0.420929535571975,9.22652262472275,182.62027922100393,0,202.73|21.086|1.17,145692904.4,2.92e+17
J0931-1902,250.999,23.054,1.429,1.429,0.7,0.7,spin_inferred,0,1,,,-2.462616333,0.9157356516,-2.462616333,0.9157356516,-0.7803560261236596,0.2901791174233782,8.638103000111531,-1.2432309009425566,0.5595942710902833,-8.638103000111531,-1.2432309009425566,0.5595942710902833,8.727109860291337,188.19000093977454,0,250.999|23.054|1.429,123850593.6,7.18e+17
J1012+5307,160.347,50.858,1.111,0.099,0.9,0.08,binary_orbital,1,1,-4.641502774,6.078491572,-2.55519319,1.565562574,-4.641502774,6.078491572,-1.4708034749157095,1.9261577471037086,8.870458908296943,0.2358674709062825,0.8616737007820804,-8.870458908296943,0.2358674709062825,0.8616737007820804,8.873594238391584,178.47685141560294,0,160.347|50.858|1.111,204699759.6,3.38e+17
J1012-4235,274.218,11.225,1.25,0.781,0.8,0.5,spin_inferred,0,1,,,2.353404835,1.019036266,2.353404835,1.019036266,0.7457489907344031,0.3229131068268816,8.119819385480428,-1.2227669313752778,0.24332794393566556,-8.119819385480428,-1.2227669313752778,0.24332794393566556,8.211371738101294,188.5638463676262,0,274.218|11.225|1.25,139596943.3,2.53e+17
J1017-7156,291.558,-12.553,1.4,0.6,0.6,0.6,binary_orbital,1,1,3.441376858,3.644175716,4.144113802,1.580052806,3.441376858,3.644175716,1.0905065207747102,1.1547696009835982,7.707876968160315,-1.2709391588280732,-0.30427966651340965,-7.707876968160315,-1.2709391588280732,-0.30427966651340965,7.811955817958705,189.36315777064897,0,291.558|-12.553|1.4,54577800.26,9.4e+17
J1022+1001,231.795,51.101,0.725,0.015,1.16,0.08,binary_orbital,1,0,-6.536207071,2.411477804,,,-6.536207071,2.411477804,-2.0711990363652495,0.7641512041473368,8.49156990997492,-0.3577472865854777,0.5642342286120574,-8.49156990997492,-0.3577472865854777,0.5642342286120574,8.49910246185153,182.41242735316257,0,231.795|51.101|0.725,628287843.2,3.51e+17
J1125-6014,292.504,0.894,0.833,0.208,1.2,0.3,binary_orbital,1,1,3.137383925,1.878949458,9.508125082,1.534281862,3.137383925,1.878949458,0.9941769732172281,0.595403154232261,7.891209784446483,-0.7694757157457052,0.012996974454689817,-7.891209784446483,-0.7694757157457052,0.012996974454689817,7.928637003878174,185.56933232786204,0,292.504|0.894|0.833,40127057.39,2.2e+18
J1400-1431,326.986,45.087,0.278,0.085,3.6,1.1,spin_inferred,0,1,,,4.711417624,7.954031187,4.711417624,7.954031187,1.4929581539787562,2.520480387291809,8.045414406807836,-0.1069403191103372,0.19687394612330716,-8.045414406807836,-0.1069403191103372,0.19687394612330716,8.046125105236838,180.76153543141203,0,326.986|45.087|0.278,25791012.04,7.32e+18
J1455-3330,330.722,22.562,0.769,0.059,1.3,0.1,binary_orbital,1,0,5.305778146,3.161666155,,,5.305778146,3.161666155,1.6812996381220369,1.0018715475828326,7.5905714061555924,-0.34729443819079175,0.29505218238420383,-7.5905714061555924,-0.34729443819079175,0.29505218238420383,7.598512202974024,182.619649681869,0,330.722|22.562|0.769,436754994.6,1.71e+17
J1518+4904,80.808,54.282,0.806,0.026,1.24,0.04,binary_orbital,1,0,1.701941734,2.790869102,,,1.701941734,2.790869102,0.5393127912135269,0.884373051816361,8.134834389627501,0.4644974228069695,0.6543915305251231,-8.134834389627501,0.4644974228069695,0.6543915305251231,8.14808495307091,176.73197100313337,0,80.808|54.282|0.806,944810161.1,9.61e+17
