older_lookback_gyr,younger_lookback_gyr,R_kpc,delta_surface_density_msun_per_kpc2,delta_SFR_surface_proxy_msun_per_yr_kpc2
11.65,11.18,2.6264200840168033,29974799.773674257,0.06377616973122173
11.65,11.18,2.7514400880176035,27236163.470508806,0.05794928397980589
11.65,11.18,2.876460092018404,24747741.642757565,0.052654769452675595
11.65,11.18,3.0014800960192036,22486673.53901864,0.04784398625323108
11.65,11.18,3.126500100020004,20432187.071840562,0.04347273845072454
11.65,11.18,3.251520104020804,18565407.98772622,0.0395008680589919
11.65,11.18,3.3765401080216044,16869186.472247772,0.03589188611116542
11.65,11.18,3.5015601120224042,15327939.597319864,0.03261263744110605
11.65,11.18,3.6265801160232045,13927508.163218513,0.02963299609195424
11.65,11.18,3.751600120024005,12655026.62017506,0.02692558855356392
11.65,11.18,3.876620124024805,11498804.874534741,0.024465542286244094
11.65,11.18,4.001640128025605,10448220.893651105,0.022230257220534237
11.65,11.18,4.126660132026406,9493623.122893838,0.02019919813381665
11.65,11.18,4.251680136027206,8626241.818290014,0.018353705996361706
11.65,11.18,4.376700140028006,7838108.480225114,0.01667682655367043
11.65,11.18,4.501720144028806,7121982.648053713,0.015153154570327029
11.65,11.18,4.626740148029606,6471285.38309302,0.013768692304453215
11.65,11.18,4.751760152030406,5880038.828917621,0.012510720912590666
11.65,11.18,4.876780156031207,5342811.293705218,0.011367683603628106
11.65,11.18,5.001800160032007,4854667.3501131665,0.010329079468325873
11.65,11.18,5.126820164032807,4411122.494260996,0.009385367009065936
11.65,11.18,5.251840168033607,4008101.9472779706,0.008527876483570139
11.65,11.18,5.376860172034407,3641903.2209317144,0.007748730257301509
11.65,11.18,5.501880176035208,3309162.1034341278,0.00704077043283856
11.65,11.18,5.6269001800360074,3006821.752941332,0.006397493091364527
11.65,11.18,5.751920184036808,2732104.6148143606,0.005812988542158206
11.65,11.18,5.876940188037608,2482486.904648778,0.005281887031167606
11.65,11.18,6.001960192038408,2255675.4226526585,0.004799309409899267
11.65,11.18,6.1269801960392085,2049586.4863702501,0.004360822311426058
11.65,11.18,6.252000200040008,1862326.7882093783,0.003962397421722076
11.65,11.18,6.377020204040808,1692176.0019136486,0.003600374472156694
11.65,11.18,6.502040208041609,1537570.9781878106,0.00327142761316555
11.65,11.18,6.627060212042409,1397091.384283837,0.0029725348601783723
11.65,11.18,6.752080216043209,1269446.6556208027,0.002700950331108087
11.65,11.18,6.877100220044009,1153464.1395651512,0.002454179020351382
11.65,11.18,7.002120224044809,1048078.3224499708,0.0022299538775531263
11.65,11.18,7.12714022804561,952321.0408636183,0.002026214980560887
11.65,11.18,7.25216023204641,865312.5872802862,0.001841090611234649
11.65,11.18,7.377180236047209,786253.6283212639,0.0016728800602580061
11.65,11.18,7.50220024004801,714417.8614012359,0.0015200380029813509
11.65,11.18,7.62722024404881,649145.3422973189,0.0013811603027602509
11.65,11.18,7.752240248049611,589836.4223422454,0.0012549711113664778
11.65,11.18,7.8772602520504105,535946.2395436133,0.001140311147965133
11.65,11.18,8.00228025605121,486979.7130199495,0.0010361270489786145
11.65,11.18,8.12730026005201,442486.9947682384,0.0009414616909962506
11.65,11.18,8.25232026405281,402059.33697900537,0.0008554453978276698
11.65,11.18,8.37734026805361,365325.33693259396,0.0007772879509204116
11.65,11.18,8.50236027205441,331947.52497908566,0.0007062713297427345
11.65,11.18,8.627380276055211,301619.26425615477,0.0006417431154386263
11.65,11.18,8.75240028005601,274061.93366302707,0.000583110497155376
11.65,11.18,8.87742028405681,249022.36821096757,0.0005298348259807814
11.65,11.18,9.002440288057612,226270.53323518403,0.0004814266664578377
11.65,11.18,9.12746029205841,205597.4111014806,0.00043744130021591555
11.65,11.18,9.252480296059211,186813.08099316526,0.00039747464041098936
11.65,11.18,9.377500300060012,169744.9741375058,0.0003611595194415012
11.65,11.18,9.50252030406081,154236.28844276007,0.0003281623158356593
11.65,11.18,9.627540308061612,140144.54798130016,0.0002981798893219148
11.65,11.18,9.752560312062412,127340.2940850195,0.000270936795925573
11.65,11.18,9.877580316063213,115705.89602831297,0.0002461827575070485
11.65,11.18,10.002600320064012,105134.47037256192,0.0002236903624948123
11.65,11.18,10.127620324064813,95528.89904430087,0.00020325297669000156
11.65,11.18,10.252640328065613,86800.93712630594,0.00018468284494958687
11.65,11.18,10.377660332066412,78870.40216501296,0.00016780936630853796
11.65,11.18,10.502680336067213,71664.43754655815,0.00015247752669480437
11.65,11.18,10.627700340068014,65116.84317419113,0.00013854647483870435
11.65,11.18,10.752720344068813,59167.46729809293,0.00012588822829381457
11.65,11.18,10.877740348069613,53761.65391043441,0.00011438649768177518
11.65,11.18,11.002760352070414,48849.74062897716,0.00010393561835952573
11.65,11.18,11.127780356071213,44386.60245635027,9.443957969436216e-05
11.65,11.18,11.252800360072014,40331.237223589196,8.581114302891306e-05
11.65,11.18,11.377820364072814,36646.38890946948,7.797104023291368e-05
11.65,11.18,11.502840368073615,33298.20537512814,7.084724547899594e-05
11.65,11.18,11.627860372074414,30255.92736963256,6.437431355240961e-05
11.65,11.18,11.752880376075215,27491.60594943793,5.84927786158253e-05
11.65,11.18,11.877900380076015,24979.84571571069,5.314860790576735e-05
11.65,11.18,12.002920384076814,22697.571510676673,4.8292705341865194e-05
11.65,11.18,12.127940388077615,20623.816429669387,4.388046048865821e-05
11.65,11.18,12.252960392078416,18739.529201378413,3.9871338726336996e-05
11.65,11.18,12.377980396079215,17027.39916672857,3.6228508865379887e-05
11.65,11.18,12.503000400080015,15471.697248497672,3.291850478403755e-05
11.65,11.18,12.628020404080816,14058.131450685916,2.9910917980182757e-05
11.65,11.18,12.753040408081615,12773.715560130648,2.7178118213043893e-05
11.65,11.18,12.878060412082416,11606.64984414855,2.4694999668401133e-05
11.65,11.18,13.003080416083217,10546.212648193294,2.243875031530485e-05
11.65,11.18,13.128100420084015,9582.66189765215,2.0388642335430077e-05
11.65,11.18,13.253120424084816,8707.14559889378,1.8525841699773972e-05
11.65,11.18,13.378140428085617,7911.620517354419,1.683323514330725e-05
11.65,11.18,13.503160432086418,7188.778285569944,1.5295272948021137e-05
11.65,11.18,13.628180436087217,6531.978262319755,1.3897826090042013e-05
11.65,11.18,13.753200440088017,5935.186526069769,1.2628056438446298e-05
11.65,11.18,13.878220444088818,5392.920442256636,1.1474298813311977e-05
11.65,11.18,14.003240448089617,4900.19829516099,1.0425953819491454e-05
