source_id,x,y,z,R,phi,U,V,eU,eV,Dist,e_mu,ruwe,rv_kms,rv_error_kms,rv_source,rv_epochs
5614312705966204288,-10.079043882675371,-3.61784214272605,0.0046230303880520586,10.708683736042467,-2.7969696111343203,-14.612960404329936,-0.45392479806335473,0.9459301146859633,2.659805443008918,4.1,0.087,1.36213,78.250786,1.1798949,gaia_vari_cepheid,32.0
5611944113094713600,-11.85947293602216,-7.081840131684832,-0.6330429647902945,13.813021319428413,-2.6032741197857647,5.742786503225644,9.975704402942,1.1733454883504326,2.2073395364466135,8.02,0.057,1.0243574,94.02722,1.2245417,gaia_vari_cepheid,21.0
5612074684400718848,-13.498710002066321,-10.445265198889672,-0.7595597271327014,17.068061893343984,-2.483034424061209,12.51413998170297,50.65777957256549,3.818585083345173,7.122626766849363,11.76,0.117,1.0309687,96.14832,3.7947917,gaia_source_rvs,24.0
5605736961940589568,-12.844770930951512,-9.175086465465725,-1.2279086231813836,15.78513072221416,-2.5213302755044524,2.2446452888384845,8.13437811994558,4.391404915404579,5.827485239108485,10.38,0.112,1.1452345,116.22341,4.7598157,gaia_source_rvs,20.0
5602144170265728384,-11.504429480105234,-6.5616953407868195,0.09954609084295968,13.244158841089828,-2.6232505503482213,-3.803678467664424,0.44598728862692383,3.076459467652799,4.4412467930390935,7.37,0.107,1.0487925,102.410416,3.4298513,gaia_source_rvs,32.0
5698193623413812352,-9.538448866839778,-2.747119511485925,0.11476564114790927,9.926161009962698,-2.8611765890682683,-15.448634484473661,4.8222265506391295,1.2549307513960752,1.8169196784497026,3.08,0.045,1.263509,60.845085,1.7899308,gaia_source_rvs,40.0
5602077301899527680,-9.98267714952047,-3.6445334292377103,0.07666000647964871,10.627157051083291,-2.7915421088036916,-19.410731613306314,-6.707238635933891,1.3847286010729074,1.676092369988082,4.08,0.037,1.070435,84.87337,1.8649713,gaia_source_rvs,20.0
5600034688481641856,-9.928297361674751,-3.539629179372823,-0.25827483875465124,10.54040147381993,-2.7991218812381047,4.925046692335003,-6.424049817659778,0.4826078443250618,1.0038421622801723,3.97,0.045,1.1067336,65.47568,0.36468554,gaia_vari_cepheid,20.0
5600138420530755072,-12.335463717754367,-8.362716963303415,-0.39002866398087727,14.902976217533096,-2.5458252836542457,1.288286283757075,-15.35418280214887,3.3128304234794554,5.996523248431051,9.36,0.161,1.0692114,120.43699,3.0958302,gaia_source_rvs,33.0
5600052040150252800,-10.102200818960766,-3.9016237213080203,-0.2457708774857626,10.829456544503284,-2.773025895466222,13.202709828786482,-11.71787011043915,1.3367157132331333,1.8588501497860648,4.37,0.09,1.2365955,68.00004,1.0991353,gaia_vari_cepheid,19.0
5599566983722741248,-13.193118397174025,-10.416795387425147,-0.7801920327167576,16.80975904602245,-2.473248343530826,-15.56797837723503,-23.469597225318836,3.7606366855117175,5.7909250757596045,11.6,0.121,1.2678608,152.40167,3.8867779,gaia_source_rvs,17.0
5601254523607154816,-11.941913118388992,-7.8377135018591355,0.24156755617978937,14.284223530328,-2.560787543932059,-0.8482651015643579,6.953549173542086,0.8854733341290496,2.608877867466192,8.71,0.058,1.1635538,107.24722,0.87121004,gaia_vari_cepheid,25.0
5599370549100412544,-12.695917816914152,-9.42423378862592,-0.741849868731855,15.81146772809269,-2.5030350439678584,11.468599543272534,-7.140752035652383,3.6450793072634,4.934857908263633,10.49,0.114,1.0380294,115.30238,3.796293,gaia_source_rvs,24.0
5593427031607304704,-12.371531067314015,-8.757382722275992,-1.0600081578318938,15.157392028114002,-2.5256071680070615,2.1628423136435306,-14.095812364795108,1.2728401708083672,4.27985961653683,9.78,0.113,0.9171437,121.34996,0.5341226,gaia_vari_cepheid,27.0
5600628115523816320,-9.723115973652618,-3.292997600163406,-0.05748491793190275,10.26561334902989,-2.8150403627094462,-21.83907492992067,4.302804652846675,0.5302295339820858,1.549714050604737,3.65,0.046,1.1797553,72.98781,0.7277188,gaia_vari_cepheid,27.0
5600915775257809152,-11.840039165522454,-7.8335638624595,0.12580990614380244,14.196874664106078,-2.557094556067241,-8.756188315382104,0.08735117939613701,1.800801690065696,4.373532587563275,8.66,0.087,1.1051075,117.09101,1.7883265,gaia_vari_cepheid,26.0
5600471160241231616,-11.513644809169751,-7.214267485317752,-0.03722895193756865,13.587114194759478,-2.5818549764959537,-7.888314271095489,-2.10566044789951,1.274543282298923,2.655385171873968,7.96,0.062,1.1656202,112.0721,1.4018062,gaia_vari_cepheid,34.0
5604731630351388928,-11.80581690860738,-7.874762370937103,-1.368256442340513,14.191166100017533,-2.553342755860325,10.750942839335144,1.878368345634783,1.8498952093580892,4.479206184457408,8.79,0.108,1.201517,97.1732,1.9578053,gaia_source_rvs,22.0
5600862070985787136,-10.24874902558882,-4.5380751966992,0.0389401981726844,11.208522787611411,-2.724748139189521,-31.885721377063664,1.6084448600826988,0.6995443096339723,2.0551591562656277,5.0,0.044,1.3472925,99.0112,0.9014651,gaia_vari_cepheid,27.0
5599120204043561600,-12.82865005701403,-10.192024646641904,-1.004673193417608,16.384493543685814,-2.4702305226169945,22.208282950560744,-2.59074511315805,3.6933316371908758,4.737564482669156,11.26,0.112,1.0175272,108.0744,3.8171794,gaia_source_rvs,22.0
5598852026287511424,-12.650473316853716,-9.844407258379945,-0.5767104011676628,16.029561110937244,-2.4802958690118913,3.3411416109351078,-1.285401927586804,1.9175056049764438,5.726305497788126,10.84,0.114,1.2542827,121.802284,1.8480484,gaia_source_rvs,23.0
5598479085688742656,-11.824603155849212,-8.093414588163423,-0.6125762997050165,14.329152085493952,-2.5413756042477775,11.260649043175043,-6.149253974527056,2.817168135982349,6.4186212788534505,8.91,0.178,1.0520334,105.199394,2.3930423,gaia_source_rvs,26.0
5592331544376193792,-12.40586323714346,-9.492387865068093,-0.9868129191597615,15.620847289427024,-2.488463726891348,37.799955278877015,-24.802417245517518,4.199591049233072,3.774592168470398,10.45,0.112,1.1703097,101.91707,3.9285522,gaia_vari_cepheid,25.0
5597379741549105280,-9.257627335414668,-2.506137212661374,0.01131773323855539,9.590849160012006,-2.877218684756833,-3.4776089548155906,-19.184936912939406,1.0710202856748843,1.8396693545348668,2.74,0.082,1.1803056,65.45438,1.4694297,gaia_vari_cepheid,24.0
