scenario,zcut_kpc,hnu_kpc,decomposition,predictor,rho_detrended_rank,p_perm,p_maxT
z1.5_hnu3.5,1.5,3.5,mcgaugh2019,age_median_gyr,0.3986013986013987,0.1960901954902255,0.5901204939753012
z2.0_hnu2.0,2.0,2.0,mcmillan17,Rbirth_median_kpc,0.28671328671328683,0.36023198840057996,0.8307584620768962
z2.0_hnu2.0,2.0,2.0,mcmillan17,deltaR_guide_median_kpc,-0.18881118881118886,0.5544222788860557,0.9657517124143793
z2.0_hnu2.0,2.0,2.0,mcmillan17,abs_deltaR_guide_median_kpc,-0.3006993006993008,0.34268286585670715,0.8091095445227738
z2.0_hnu2.0,2.0,2.0,mcmillan17,outward_guide_fraction_gt1,-0.07692307692307691,0.8169091545422729,0.999850007499625
z2.0_hnu2.0,2.0,2.0,mcmillan17,inward_guide_fraction_gt1,0.06993006993006991,0.8335583220838958,0.99990000499975
z2.0_hnu2.0,2.0,2.0,mcmillan17,inner_born_fraction_lt6,-0.32867132867132876,0.2942852857357132,0.752362381880906
z2.0_hnu2.0,2.0,2.0,mcmillan17,guide_history_distance_time_median,-0.3286713286713287,0.30118494075296237,0.7586120693965301
z2.0_hnu2.0,2.0,2.0,mcmillan17,age_median_gyr,-0.3986013986013987,0.20353982300884957,0.5964201789910505
z2.0_hnu2.0,2.0,2.0,mcgaugh2019,Rbirth_median_kpc,0.5664335664335666,0.05704714764261787,0.2369381530923454
z2.0_hnu2.0,2.0,2.0,mcgaugh2019,deltaR_guide_median_kpc,-0.6363636363636365,0.03054847257637118,0.1391430428478576
