CNAME,GaiaEDR3,Rbirth,rguidmean,b_Rbirth,B_Rbirth,s_Rbirth,migration_delta_r_kpc
 , ,kpc,kpc,kpc,kpc,kpc,
----------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,
03192206-4703080,4750146834814848000, 2.6823606590957301, 6.1627687162465472, 2.6675115721989719, 3.1925394554910804, 0.4276340852977022,3.480408057150817
03192228-3656478,4854710631134919296, 2.3397864736159049, 8.8029126395751387, 1.8994868640527360, 2.8355933732573124, 0.4534728355677189,6.463126165959232
03193916-4656127,4750152057495122432, 2.9390169582820600, 7.3933123560272040, 2.6687153267296875, 4.8480116382605916, 1.1135552829541111,4.454295397745144
03194128-4705283,4750145769662955776, 3.1282264879059198, 8.3619997877192400, 2.5805292082503901, 3.5298482212393258, 0.4866509533971471,5.23377329981332
03194175-5554484,4733458825285837568, 2.8949827491772200, 6.7900414144581882, 2.6233173890510857, 3.2244191352479672, 0.5754580271391112,3.8950586652809682
03194231-4655364,4750149136917313280, 1.9137375878029399, 7.6270705256571318, 1.6606818051407559, 2.4028394178644903, 0.3733915526623253,5.713332937854193
03200828-4701313,4750100758405689216, 4.0529908356458302, 8.3602299217502480, 2.7864921713298063, 4.8399034567145343, 0.9796017073564668,4.307239086104418
03202006-4232127,4848078720593067392, 2.8638795623274049, 9.8425957246543518, 2.6723248649884082, 3.9904284508548713, 0.5790313165598676,6.978716162326947
03203080-3649533,4854715166620366720, 2.9023776800215302, 6.3094358899289205, 2.6853498633988644, 4.0746440320356072, 0.6067320407757898,3.4070582099073903
03203463-4653228,4846225631183603712, 4.3569438677978152, 8.5172710023870444, 4.1957488746223079, 4.5251391985059790, 0.2119309388975507,4.160327134589227
03295784-5011058,4737372640004163456, 2.6721302000122749, 6.0388786668606391, 2.6588740799571320, 2.6868092396523364, 0.1868052676417179,3.3667484668483643
03300685-5003183,4737391262982370944,23.9225868066416005, 6.5206545274532548,21.2645437461203315,27.1742791015619609, 2.8885314280634091,-17.401932279188344
03303323-5006437,4737378927836275584, 4.0622517626454044, 7.3026913519672858, 3.2024788918819080, 4.6809983715325911, 0.7343120646168960,3.2404395893218823
03304901-5004555,4737378721677841280, 3.9067908230432948, 7.1538620328794265, 2.6500662105309383, 5.6243018583081419, 1.1000440789829966,3.247071209836131
03305165-5006033,4737378652958364800, 2.7505888643817249, 6.4011850007769695, 2.4003104423132267, 3.4372242370361019, 0.4879237466890005,3.6505961363952446
03345704-5408074,4732506407697827584, 5.6207081990814647, 6.8272042110355926, 5.2918152726691101, 5.9156538297206138, 0.3279048326477833,1.206496011954128
03350317-5404231,4732508125684743168, 5.0427178856132100, 8.4150603875842052, 4.3968036427156880, 5.5364333411540203, 0.6024171917729459,3.372342501970995
03353375-3004203,5056218608193873152, 3.8273096051252153, 7.7910751009952310, 2.6641284346677581, 4.3153977589702626, 0.8120815121025556,3.963765495870015
03353528-2958030,5056220360540525824, 9.4880889752638993, 9.6420926688380675, 8.6429818975063917,10.3771255351115794, 0.9679572716414888,0.15400369357416643
03354036-3459046,4861121780357083392, 3.8308253261004550, 8.0420782082987259, 3.1706790979380401, 4.4412829529106919, 0.6866376906780178,4.211252882198271
03354644-2957248,5056221082095028992, 3.1951359332220650, 8.0002799630402759, 3.0041385911689269, 3.4201760594517001, 0.1992598084945362,4.805144029818212
03354659-3500142,4861118756700105984, 2.6816607877591148, 8.7193614233618817, 2.6456674447733644, 3.1980388481051016, 0.3706349856030293,6.037700635602767
03355385-3007063,5056214588104552960, 4.6630653734189451, 8.8435135519627739, 4.2923618154312893, 5.2253340707397289, 0.4747569107582243,4.180448178543829
03355904-3457581,4861120405967543936, 4.2976929717442047, 7.2500805476445329, 2.8335346307347304, 4.8955446283560375, 1.0146872332702130,2.952387575900328
03364938-3001159,5056193319426486528, 4.0533147393377096, 7.7001362262370101, 2.7162199835237630, 4.3318865974022511, 0.7324583243997652,3.6468214868992996
03390104-4707447,4834118255815179264, 7.8147017879352703, 7.5108554857223888, 6.7442774425217724, 8.8888014409323226, 1.2952310285568800,-0.3038463022128832
03390234-5607009,4729901252334835840, 2.7068040023339002, 6.8394012845744134, 2.6615075425980685, 2.8113682067802235, 0.3607037273467395,4.132597282240512
03391868-5600583,4729903520077583872, 4.0875974032431950, 6.9162750060567806, 3.7220723269308582, 4.7657630219634308, 0.6426543986290644,2.8286776028135856
03391869-4703239,4834120351759215232, 2.7250670290981449, 7.4129153944362454, 2.6348851742057167, 4.1598348692224203, 0.6689730834149696,4.6878483653381
03392335-4657541,4834215287716251264, 6.1271990652600197, 8.0414611332560142, 5.6604013174347436, 6.7306753541535906, 0.5760471525057412,1.9142620679959945
03393488-3653205,4859954305166921728, 3.9055356299553097, 7.8404010354679858, 3.7216465215106371, 4.1667234361238004, 0.2479192884386051,3.934865405512678
03393893-3657003,4859951075351515904, 3.1890581556444899, 8.1388555471117758, 2.5451332124539747, 3.7749398991291798, 0.5646177673191195,4.949797391467286
