name,arm,ra_deg,dec_deg,plx_mas,e_plx_mas,x_kpc,y_kpc,z_kpc,R_kpc,phi_rad,U_kms,V_kms,W_kms,e_U_kms,e_V_kms,e_W_kms
G029.95-00.01,ScF,281.51558416666666,-2.6562022222222224,0.207,0.019,-3.9644199069871293,2.412195042199495,0.00132771570341587,4.640615273918714,2.594975019728179,38.20083952401852,-5.803326436208295,-0.6684661248295998,9.883301370239097,4.88974817200335,4.525091922347918
G029.98+00.10,ScF,281.4165091666667,-2.5757169444444443,0.156,0.01,-2.5975352247945285,3.203353205062654,0.013927205422147811,4.124155792454201,2.252136329432082,-64.34119917543165,13.58866488409501,-15.317243622430924,19.009195867517914,13.167564836806568,9.181848310891077
G030.19-00.16,ScN,281.7627908333334,-2.5100744444444443,0.212,0.01,-4.073177101090279,2.372585802795121,-0.011167075946323702,4.713802614500439,2.614147498852704,14.336601176786033,19.803658558106605,9.858562585721852,7.7525225448802155,3.611008042738816,4.676587909687604
G030.22-00.18,ScN,281.7845745833334,-2.4914805555555555,0.284,0.032,-5.107558300312149,1.772490224034839,-0.007609773192664528,5.406373404176464,2.807563667170822,49.87049815752565,25.277778568134494,-15.658660596985179,9.037373834438341,4.342055538605424,6.136008455449671
G030.41-00.23,ScN,281.91982875,-2.341918611111111,0.253,0.021,-4.74156521390303,2.001262882771698,-0.01279965090825597,5.1466002179744805,2.7422080667840345,33.445347129485896,16.68047500286744,5.394839926960486,9.372390582381774,4.143595532038872,5.085782228321341
G030.74-00.04,ScN,281.91552,-1.956937222222222,0.326,0.055,-5.514056239417592,1.568837590244086,0.0009124797203331368,5.732893475028377,2.864401132688315,45.099457266756204,5.828590734218466,8.67701564507433,12.02677671788853,6.446574392254816,5.891972715722065
G030.81-00.05,ScF,281.9457295833334,-1.9073377777777778,0.321,0.037,-5.474610055189494,1.5959791463202166,0.0006116019931492701,5.702499863381929,2.8579302120720937,67.28289523974887,7.406291375320762,0.049167224227616727,5.933114075897482,5.926546761857423,4.899471853295705
G030.97-00.14,ScN,282.09184708333333,-1.8085416666666667,0.294,0.022,-5.233632625926532,1.750416550430864,-0.004873800167448161,5.518592987635973,2.8188326039225147,24.627766128400328,2.272709085186648,10.00320736974074,6.70581500118665,4.743514078662482,5.211327226736995
G031.41+00.30,ScN,281.89296041666665,-1.2129608333333333,0.267,0.029,-4.953608074939085,1.951968041317622,0.023412265727012684,5.324322698186791,2.7662263004176633,51.39604398494047,0.08757926143852046,-14.230650442499941,14.949231862107128,15.95360647767488,12.2629506718899
G032.04+00.05,ScN,282.4023975,-0.7626497222222223,0.198,0.015,-3.869016281701815,2.6796996405493156,0.007822675588900822,4.70638684678957,2.53584710454004,14.22498127563976,4.091656005607007,-0.8079218284852966,10.25261159926555,5.19337875067692,5.113798399850562
G032.74-00.07,SgF,282.84109333333333,-0.20172777777777778,0.126,0.016,-1.4746466647638075,4.292740025813816,-0.009464070236957237,4.5389646082694926,1.9016876554166762,16.19458773362049,-57.69212080475381,8.29440816640657,12.056197707104504,16.35007125816637,11.276691310732852
G033.09-00.07,ScF,282.9975354166667,0.10951722222222222,0.134,0.016,-1.8978306776120801,4.074543530765042,-0.008203493295831931,4.494848858970097,2.0066930783574453,-25.77417351518639,-3.2886564204129343,-0.9949985189949692,19.990005566974364,6.234972553097599,5.458531136172061
G033.64-00.22,SgF,283.38567916666665,0.5275277777777778,0.131,0.02,-1.7949400764179124,4.228912527185802,-0.029116230600716362,4.5940734692122795,1.9721966498419063,17.843019843085866,-34.29723556338658,3.672794224888787,11.46065800330895,15.300620690260693,6.181203579817965
G034.41+00.23,SgN,283.3251329166667,1.42375,0.34,0.011,-5.723534378004075,1.6621323555277943,0.015923786536129785,5.959994105994306,2.8589634056180797,8.106000008174338,4.284326367125345,-20.333751601611556,10.262549882052301,9.856098693208162,9.713911617338502
G034.79-01.38,SgN,284.9415991666667,1.0219297222222221,0.381,0.02,-5.99519660189703,1.4971684386035466,-0.059458806600074667,6.179311905782736,2.896870009730555,-6.6101698258349595,4.465028600901007,-5.578191602317121,7.628250435638332,6.954469915470096,8.054991911556233
G035.02+00.34,SgN,283.50274,2.0220047222222224,0.43,0.04,-6.245594740535673,1.33469463248996,0.01841280818223211,6.386615960350549,2.9310576976155587,11.82122581983017,4.715575632065452,-1.3465561163959552,9.21493956556229,8.00276537737316,9.885643195519162
G035.19-00.74,SgN,284.5543820833333,1.676576111111111,0.456,0.045,-6.358117363915618,1.2639051271190207,-0.02415049630172056,6.482523627699558,2.9453646116327294,-4.039048231959196,-7.564118600137817,-8.151584491223938,7.112127673836988,6.889154744933491,5.0160782979976
G035.20-01.73,SgN,285.4397583333333,1.2257472222222223,0.412,0.014,-6.167602995174138,1.3984728360846397,-0.06938412415729336,6.324164211921415,2.9186179641513275,2.960351422313505,-1.9890756754282393,-5.18033352161361,5.068848384787309,5.216293736618293,4.938344528351974
G035.79-00.17,SgF,284.3203770833333,2.4661130555555557,0.113,0.013,-0.9718326928435053,5.17567362521612,-0.026305911117198575,5.2661234563611625,1.7564044328403332,2.7009359993106257,-15.51138048998007,-1.5113930352214404,9.28651615681217,15.347171264582125,5.209984594178714
G037.42+01.51,SgN,283.55978374999995,4.694346388888889,0.532,0.021,-6.657816765927262,1.1420534115089884,0.05426477279373295,6.755058111030686,2.9717102891046356,7.5932518686833,3.9580485585068175,-3.211305828777085,3.5775545683848287,3.2551169836055935,3.0041231950034066
G038.11-00.22,AqS,285.43396375,4.510388888888889,0.242,0.035,-4.899081259013618,2.55078937628551,-0.013190846708392438,5.5233616235576575,2.661548564289975,25.681812878811712,-6.13683483772374,8.806117642277659,10.402468321571769,5.843856652145152,5.295701732944618
G040.28-00.21,AqS,286.4217275,6.436860555555556,0.297,0.019,-5.581427859141316,2.1769117145173293,-0.009120241750079559,5.990933279515104,2.7697124989860447,6.246985041741667,14.741133883272084,4.841458983784008,6.728254982563842,5.5021405428167816,5.0709665268099515
G041.15-00.20,SgF,286.809865,7.221673611111111,0.125,0.018,-2.126685710303951,5.264852993111333,-0.0265980520031634,5.678157196616203,1.9546947962902768,-6.56641655408939,-12.903885504016074,-0.8042733846529044,10.022146057187307,16.572107954043474,6.238206830537963
G043.03-00.45,SgF,287.91242458333335,8.775184722222223,0.13,0.019,-2.527895468983041,5.249703553391206,-0.05908904153034384,5.826632209140477,2.0195599416058205,22.256321668087377,-4.795964808506994,-5.549274432986403,9.43831812449927,19.815941224267515,6.111370647852935
G043.79-00.12,SgF,287.974945,9.597312500000001,0.166,0.01,-3.8017270744497713,4.169173811868514,-0.01080009056480408,5.6422636434479605,2.3101285824310263,21.000451353103053,-30.519655823659406,1.940503493951818,10.235712270877901,10.635933218663437,9.984550700018922
G043.89-00.78,SgF,288.60996083333333,9.376824444444445,0.134,0.013,-2.772457399016627,5.173254026061603,-0.10027861678289879,5.8693336289160305,2.0627663969441836,-11.139490653617505,-18.119858611234974,16.54108510738019,8.33723649020899,7.225182122224759,5.628401065911388
G045.07+00.13,SgF,288.3418445833333,10.84814888888889,0.129,0.007,-2.6753616447244077,5.488232439731189,0.019726801362042353,6.1055921287439645,2.0243716938210827,9.217291240349152,2.573660804915903,7.91184349400212,9.407095523115027,7.5557002899256265,9.800372144822276
G045.49+00.12,SgF,288.54731375000006,11.218436111111112,0.144,0.024,-3.2819446125092355,4.952496408999718,0.01744879450332409,5.941244071802933,2.1560372579222893,-8.86343672528921,-9.975673023850902,-1.8172818496618328,11.069394401359164,12.330031310534066,6.250303502438294
G045.80-00.35,SgF,289.12949791666665,11.269995833333335,0.137,0.023,-3.0617006551702755,5.233182136905667,-0.04325432166926919,6.06301955958404,2.100154554497823,-1.2497663104430814,1.796029676665654,-13.752602919316566,13.43054764970346,18.242608424629847,8.68279721085505
G048.60+00.02,Per,290.12989999999996,13.923669444444444,0.093,0.005,-1.0399754347672685,8.066466375810023,0.005047368747830234,8.133229905578292,1.69901481454003,-5.0609537526341395,14.646724594083082,5.813829201783988,5.984716087662782,13.080402150938749,6.079391968581004
G048.99-00.29,SgF,290.608895,14.110870277777778,0.178,0.017,-4.463601910590989,4.239238602635318,-0.02628655521505591,6.155882223232099,2.3819692497136726,0.27729579523330966,5.286419648041175,-14.421010176677411,18.348383035479024,10.33770897453906,14.048227803409794
G049.04-01.07,SgN,291.34271,13.788756944444444,0.164,0.022,-4.15387207125587,4.60406605174574,-0.11198213398105522,6.200973906830857,2.304835588875568,27.642430868871855,-18.789434426507086,1.3095670174774652,11.492153834635348,12.87435277352473,8.53699925596086
G049.19-00.33,SgF,290.7407104166667,14.269439722222224,0.197,0.008,-4.832554948789607,3.8419736172114254,-0.02656733734886269,6.1736819328841,2.469896216800895,8.286318472961119,5.552007689155687,10.085406750372385,10.42068090673209,5.128064661312949,9.469474398564051
G049.34+00.41,SgF,290.1351966666667,14.762608333333333,0.241,0.031,-5.446946213692348,3.148024345305081,0.03356055568519933,6.29120658804739,2.6175494564051407,11.728642944088365,8.957282565886231,-2.78438262067751,8.154613225027196,5.378731501462016,5.439103252370347
G049.48-00.38,SgN,290.9327916666666,14.508194444444445,0.185,0.01,-4.638742643537544,4.109498052445407,-0.033463611237625264,6.197249999477694,2.4166181067338792,-9.029002381167222,-2.7135397639554526,4.9447038116064785,5.8545269022965885,3.7976155274509185,5.607756802412684
G049.59-00.24,SgF,290.86086166666666,14.671376388888888,0.218,0.009,-5.176971688347646,3.4932263914373842,-0.016475049497118036,6.245291545139245,2.548006160679276,15.28751927609721,2.3236952735332466,-12.445707231607363,6.110130246920478,4.838997319215502,5.537084646009244
G054.10-00.08,LoS,292.9533241666666,18.71586,0.231,0.031,-5.612198187696787,3.5071054073379706,-0.002343677427360584,6.617896707879803,2.583059772220214,10.525055664928678,-9.654423937502514,8.68442019512573,12.026330369817796,5.10651846119545,12.120973999063386
