R_bin_kpc,absZ_bin_kpc,n,age_median_gyr,age_q25_gyr,age_q75_gyr,old_fraction_age_gt_8gyr,FeH_median,aFe_median,Vphi_median_kms,Vr_sigma_kms,Vz_sigma_kms,ecc_median,zmax_median_kpc,radial_excursion_median_kpc,present_minus_orbit_mid_median_kpc
5.0,3.5,38,9.758162422392918,9.24859427047151,10.217979211712972,0.9473684210526315,-1.6388169159496258,0.2928799402705249,-9.801080155496464,154.13468208247724,125.63333274991118,0.5019049047859205,4.384707701232983,4.480016606199999,0.5285276610507599
5.0,3.75,42,9.916329605385222,9.419873198283643,10.312855899223308,1.0,-1.3876661042322103,0.3380033980486746,-22.974443313586534,179.73032271458717,156.100478382207,0.6131467463380449,4.755279880882747,5.005534311188793,0.24160069654161553
5.0,4.0,44,9.9500170218029,9.541816296164264,10.372191766614463,0.9772727272727273,-1.4885301367256774,0.309558468575735,-29.073303635183144,157.54208689228713,134.2207412787527,0.5652651792872128,4.847304454815516,4.711392304464999,-0.09343597890089006
5.0,4.25,33,9.71391193053172,9.241881568517542,10.28486087903795,1.0,-1.4988706654869814,0.3070994302414163,-29.85760425417279,179.51990012079685,153.32100476386387,0.5459960572743721,4.787283794787626,4.491009136676382,0.09447850404052272
5.5,0.5,60,7.753946891129236,5.908570387495259,9.995076738322403,0.4666666666666667,-0.9309802466463803,0.3638933554724635,-147.12197916962683,134.89498494413766,70.30394201874623,0.3704883970737102,0.8504093804195743,3.6610185049540123,0.37144417566861865
5.5,0.75,124,8.762764783429745,6.164898321477499,10.95181343924199,0.5725806451612904,-0.9553286840194419,0.40029733264624234,-159.5209653247859,123.91478123522742,80.65419434428746,0.34940802782461855,1.3227282980251123,3.360796371458095,0.45619520312215833
5.5,1.0,112,8.670710618552544,6.796082541723112,10.920768083968397,0.5625,-0.9405218282330574,0.40450309900422493,-148.31371129708708,104.00678857598115,63.37978312488494,0.403356363711919,1.4272983948517564,3.9465787710530633,0.635368770826537
5.5,1.25,100,9.679806175283924,7.364492569071611,11.128886222126212,0.69,-1.2345431775582407,0.37770015281133673,-94.42821877206168,120.093155000787,75.3058617104593,0.461917317638874,1.7095506486645804,4.45235076077558,0.8457717990034008
5.5,1.5,90,8.460245110737588,6.633658967802921,10.696075513784908,0.5555555555555556,-1.428120108885454,0.389951661289649,-92.62998769897885,104.26195234561312,83.63196830221511,0.4718483641241239,1.7736426918288726,4.110393129162585,1.0166122116639906
5.5,1.75,126,9.202141692408109,7.423471093680424,10.342398263924943,0.6666666666666666,-1.4030683400881199,0.36636696989259354,-85.63452813950286,119.93718242554635,84.59978552944841,0.4604618452500013,2.0373466940125566,4.185858962087221,1.0751589506762453
5.5,2.0,172,9.215805289811659,7.923308496393964,10.301603203853784,0.7441860465116279,-1.316834277089264,0.36505275548863514,-100.0182361395358,107.6666423162823,77.64213065489146,0.5167954675042173,2.1905614370017696,4.4305933213142445,0.7319371160940507
5.5,2.25,122,9.531892855065216,8.432487278151836,10.325496219238456,0.8032786885245902,-1.4727344244923528,0.34714582317997433,-65.99425373492565,121.81745599521486,83.60318059065293,0.5431344135500882,2.4402539174212867,4.4625988217025725,1.0690309687782675
5.5,2.5,115,9.441899790807094,8.814182080017396,10.240295080846147,0.8869565217391304,-1.4530914128529147,0.3475775717453088,-46.65549376476582,138.944215912244,104.21803789693126,0.6256851588509929,2.9135015332430845,5.226998204876776,1.0326319710786507
5.5,2.75,96,9.606826390698487,8.956418087091302,10.021614707015639,0.9166666666666666,-1.456232048174715,0.3504324295862249,-39.480343178979666,161.2593955696979,115.18297468869469,0.6386013281264387,3.3218916094135063,5.409780923162787,0.9078787303645117
5.5,3.0,101,9.916835167890302,9.44241557945156,10.376016066762924,0.9603960396039604,-1.5590134023855857,0.33751615699894655,-52.666635217656776,152.9362384906468,122.21835194727932,0.5478228164461456,3.628125243598907,4.83862596056456,0.7018765110348921
5.5,3.25,89,9.91262797801995,9.43627353508057,10.392648637400974,0.9887640449438202,-1.4588168681838019,0.3345654039533745,-42.00321843495259,136.5892566697292,107.60439410455287,0.5607990311309191,3.681335755558048,4.5966201112510445,0.8824825993560399
5.5,3.5,73,9.866987342154363,9.527220123138022,10.391311466368302,0.9863013698630136,-1.4320987473278823,0.30456027252230394,-24.204247100324707,134.5425276990064,111.68212324282447,0.5645243296370095,3.690282571444213,4.680473906056717,0.9957470711170471
5.5,3.75,51,9.969974127970152,9.404243306850432,10.40084298111758,0.9607843137254902,-1.3364955408406716,0.31135340114561455,-61.64787343083461,157.34906439208564,121.74554569115114,0.6014942086456886,4.471058350310432,4.935309626500227,0.28328634617875004
5.5,4.0,64,10.117638327963153,9.546976330845649,10.488928469428195,1.0,-1.4523776433527558,0.3249939492194754,-71.5850925253211,149.70983431474758,116.76652008894894,0.6215805711913509,4.492168835551835,5.326095452527073,0.5645616703849416
5.5,4.25,49,9.969661952193201,9.497691119317663,10.278590762772511,1.0,-1.4525056242591279,0.3386350989557859,-78.00567448098019,202.14928392116022,142.90227872425245,0.7351119789435279,6.8986810943263475,7.865890439043123,-1.9760666170817673
5.5,4.5,41,10.102220173402351,9.568516629025117,10.436849813227266,1.0,-1.6577405320931735,0.33102202242288264,-33.2046658503737,165.22751483972348,147.17637185238206,0.6016499832506956,5.0306498993053745,5.571670710513451,0.3632078771757783
5.5,4.75,35,9.958223976377997,9.595233966716295,10.36753944909478,0.9714285714285714,-1.4099958299535116,0.32077578613887836,-24.907838660218733,161.41153301826466,162.208881707061,0.561802205092699,5.533028646091204,5.271127048545858,-0.20867967156909106
6.0,0.25,31,7.755050699794286,5.602434409841173,10.064288198356252,0.41935483870967744,-1.1704621472626549,0.42845707736739685,-46.192468268915505,102.64564461339525,73.0950475631495,0.7688760063012766,0.49629857412437467,5.876419249331027,2.524238436393735
6.0,0.5,134,7.746067014840595,5.620280887691357,10.955301533249903,0.4701492537313433,-1.1028952475318952,0.406142261639035,-50.419360408015706,84.46491806641808,55.47495570625557,0.7273013625023517,0.7336860203197241,5.7771135290692435,1.5084520970949105
6.0,0.75,94,10.107410295475454,8.12276527428212,11.783674848691396,0.7553191489361702,-0.7550885813768125,0.3421140304508198,-169.1984287433699,82.6255931347543,52.6278112667134,0.29891999196905117,1.04849175176025,3.20655425814245,0.8218920727365564
6.0,1.0,197,7.569124115537811,5.841954532355345,9.411296999784469,0.45685279187817257,-1.6366373986362972,0.3882312536565801,60.63642207073537,84.03648028762949,66.3112093981484,0.630748046437529,1.470997130852914,5.45574718764797,2.068862439672346
6.0,1.25,217,6.6528394889434335,5.610553501845799,8.97360610932349,0.33640552995391704,-1.6668123839964066,0.3842905027929116,77.53566805086791,80.11457606281026,58.46809519656357,0.5883743130001606,1.648444525717519,5.165800497437732,2.0218856133934224
